test_name,lucknow_price,url
"ALKAPTONURIA, URINE, QUALITATIVE in Lucknow - ₹310.00, Home Collection Available",310.00,https://www.lalpathlabs.com/test/pathology/alkaptonuria-urine-qualitative/lucknow
"ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS (ABPA) PANEL in Lucknow - ₹3150.00, Home Collection Available",3150.00,https://www.lalpathlabs.com/test/pathology/allergic-bronchopulmonary-aspergillosis-abpa-panel-z501/lucknow
"ALLERGY: ALTERNARIA TENUIS in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-alternaria-tenuis/lucknow
"ALLERGY: ANY 10 ALLERGENS in Lucknow - ₹9550.00, Home Collection Available",9550.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-any-10-allergens/lucknow
"ALLERGY: APPLE (Seb) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-apple/lucknow
"ALLERGY: ASPERGILLUS FUMIGATUS in Lucknow - ₹1630.00, Home Collection Available",1630.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-aspergillus-fumigatus/lucknow
"ALLERGY: BEEF in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-beef/lucknow
"ALLERGY: BAHIA GRASS in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-bahia-grass/lucknow
"ALLERGY: BANANA (Kela) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-banana/lucknow
"ALLERGY: BRINJAL (Baingan) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-brinjal/lucknow
"ALLERGY: BERMUDA GRASS (Cynodon Dactylon / Doob) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-bermuda-grass/lucknow
"ALLERGY: CABBAGE (Bandgobi) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-cabbage/lucknow
"ALLERGY: CANDIDA ALBICANS in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-candida-albicans/lucknow
"ALLERGY: CASHEWNUT (Kaju) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-cashewnut/lucknow
"ALLERGY: CHEDDAR (Cheese) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-cheddar/lucknow
"ALLERGY: CARROT (Gajar) in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-carrot/lucknow
"ALLERGY: CAT EPITHELIUM &amp; DANDER in Lucknow - ₹1180.00, Home Collection Available",1180.00,https://www.lalpathlabs.com/test/pathology/allergy-individual-marker-cat-epithelium-dander/lucknow
